row_id,window,sample_type,timestamp,source_audit_file,source_ticket
AUDIT_WINTER_19,WINTER,audit_bridge,2023.01.23 15:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,19
WINTER_C_16,WINTER,candidate,2023.01.23 17:30:00,,
WINTER_K_07,WINTER,control,2023.01.24 00:30:00,,
AUDIT_WINTER_21,WINTER,audit_bridge,2023.01.25 09:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,21
WINTER_C_17,WINTER,candidate,2023.01.25 14:00:00,,
WINTER_K_08,WINTER,control,2023.01.26 02:00:00,,
AUDIT_WINTER_23,WINTER,audit_bridge,2023.01.26 04:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,23
WINTER_C_18,WINTER,candidate,2023.01.26 09:00:00,,
WINTER_K_09,WINTER,control,2023.01.27 19:30:00,,
AUDIT_WINTER_25,WINTER,audit_bridge,2023.01.30 05:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_WINTER/trades.csv,25
WINTER_C_19,WINTER,candidate,2023.01.30 06:30:00,,
WINTER_C_20,WINTER,candidate,2023.01.31 14:30:00,,
WINTER_K_10,WINTER,control,2023.01.31 23:30:00,,
DSTTR_K_01,DSTTR,control,2023.03.20 00:00:00,,
DSTTR_C_01,DSTTR,candidate,2023.03.20 04:30:00,,
AUDIT_DSTTR_3,DSTTR,audit_bridge,2023.03.20 06:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,3
DSTTR_C_02,DSTTR,candidate,2023.03.20 10:30:00,,
AUDIT_DSTTR_5,DSTTR,audit_bridge,2023.03.21 09:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,5
DSTTR_K_02,DSTTR,control,2023.03.21 11:00:00,,
DSTTR_C_03,DSTTR,candidate,2023.03.21 17:00:00,,
AUDIT_DSTTR_7,DSTTR,audit_bridge,2023.03.22 07:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,7
DSTTR_K_03,DSTTR,control,2023.03.22 17:30:00,,
DSTTR_C_04,DSTTR,candidate,2023.03.22 18:00:00,,
AUDIT_DSTTR_9,DSTTR,audit_bridge,2023.03.23 01:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,9
DSTTR_C_05,DSTTR,candidate,2023.03.23 01:30:00,,
AUDIT_DSTTR_11,DSTTR,audit_bridge,2023.03.24 01:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,11
DSTTR_C_06,DSTTR,candidate,2023.03.24 03:30:00,,
DSTTR_C_07,DSTTR,candidate,2023.03.24 10:00:00,,
DSTTR_K_04,DSTTR,control,2023.03.24 15:30:00,,
AUDIT_DSTTR_13,DSTTR,audit_bridge,2023.03.27 06:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,13
DSTTR_C_08,DSTTR,candidate,2023.03.27 10:30:00,,
DSTTR_C_09,DSTTR,candidate,2023.03.27 16:30:00,,
DSTTR_C_10,DSTTR,candidate,2023.03.28 03:00:00,,
DSTTR_K_05,DSTTR,control,2023.03.28 08:00:00,,
AUDIT_DSTTR_15,DSTTR,audit_bridge,2023.03.29 05:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,15
DSTTR_C_11,DSTTR,candidate,2023.03.29 06:00:00,,
DSTTR_C_12,DSTTR,candidate,2023.03.29 14:00:00,,
DSTTR_C_13,DSTTR,candidate,2023.03.29 20:00:00,,
DSTTR_C_14,DSTTR,candidate,2023.03.30 03:30:00,,
DSTTR_K_06,DSTTR,control,2023.03.30 07:30:00,,
AUDIT_DSTTR_17,DSTTR,audit_bridge,2023.03.31 00:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,17
DSTTR_C_15,DSTTR,candidate,2023.03.31 08:30:00,,
DSTTR_K_07,DSTTR,control,2023.03.31 16:00:00,,
AUDIT_DSTTR_19,DSTTR,audit_bridge,2023.04.03 04:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,19
DSTTR_C_16,DSTTR,candidate,2023.04.03 06:00:00,,
DSTTR_K_08,DSTTR,control,2023.04.04 01:30:00,,
DSTTR_C_17,DSTTR,candidate,2023.04.04 15:00:00,,
AUDIT_DSTTR_21,DSTTR,audit_bridge,2023.04.04 20:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_DSTTR/trades.csv,21
DSTTR_C_18,DSTTR,candidate,2023.04.04 23:00:00,,
DSTTR_K_09,DSTTR,control,2023.04.05 09:30:00,,
DSTTR_C_19,DSTTR,candidate,2023.04.05 16:30:00,,
DSTTR_C_20,DSTTR,candidate,2023.04.06 19:00:00,,
DSTTR_K_10,DSTTR,control,2023.04.06 20:30:00,,
SUMMER_K_01,SUMMER,control,2023.07.03 00:00:00,,
SUMMER_C_01,SUMMER,candidate,2023.07.03 07:30:00,,
AUDIT_SUMMER_3,SUMMER,audit_bridge,2023.07.03 08:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,3
SUMMER_K_02,SUMMER,control,2023.07.04 10:30:00,,
AUDIT_SUMMER_5,SUMMER,audit_bridge,2023.07.05 10:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,5
AUDIT_SUMMER_7,SUMMER,audit_bridge,2023.07.06 02:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,7
SUMMER_C_02,SUMMER,candidate,2023.07.06 03:00:00,,
SUMMER_K_03,SUMMER,control,2023.07.06 12:00:00,,
AUDIT_SUMMER_9,SUMMER,audit_bridge,2023.07.07 06:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,9
SUMMER_C_03,SUMMER,candidate,2023.07.07 09:30:00,,
SUMMER_C_04,SUMMER,candidate,2023.07.07 20:30:00,,
AUDIT_SUMMER_11,SUMMER,audit_bridge,2023.07.10 19:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,11
SUMMER_C_05,SUMMER,candidate,2023.07.10 22:30:00,,
AUDIT_SUMMER_13,SUMMER,audit_bridge,2023.07.11 01:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,13
SUMMER_C_06,SUMMER,candidate,2023.07.11 09:30:00,,
SUMMER_C_07,SUMMER,candidate,2023.07.11 22:00:00,,
AUDIT_SUMMER_15,SUMMER,audit_bridge,2023.07.12 02:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,15
SUMMER_C_08,SUMMER,candidate,2023.07.12 08:30:00,,
SUMMER_C_09,SUMMER,candidate,2023.07.12 19:00:00,,
AUDIT_SUMMER_17,SUMMER,audit_bridge,2023.07.13 00:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,17
SUMMER_K_04,SUMMER,control,2023.07.13 01:00:00,,
SUMMER_C_10,SUMMER,candidate,2023.07.13 20:00:00,,
AUDIT_SUMMER_19,SUMMER,audit_bridge,2023.07.13 23:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,19
SUMMER_C_11,SUMMER,candidate,2023.07.14 13:00:00,,
SUMMER_K_05,SUMMER,control,2023.07.17 03:00:00,,
SUMMER_K_06,SUMMER,control,2023.07.18 14:30:00,,
AUDIT_SUMMER_21,SUMMER,audit_bridge,2023.07.19 02:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,21
SUMMER_C_12,SUMMER,candidate,2023.07.19 06:00:00,,
SUMMER_C_13,SUMMER,candidate,2023.07.20 12:30:00,,
AUDIT_SUMMER_23,SUMMER,audit_bridge,2023.07.20 13:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,23
SUMMER_K_07,SUMMER,control,2023.07.20 23:00:00,,
SUMMER_C_14,SUMMER,candidate,2023.07.21 11:30:00,,
AUDIT_SUMMER_25,SUMMER,audit_bridge,2023.07.21 16:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,25
SUMMER_K_08,SUMMER,control,2023.07.24 19:00:00,,
AUDIT_SUMMER_27,SUMMER,audit_bridge,2023.07.25 16:00:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,27
SUMMER_C_15,SUMMER,candidate,2023.07.25 18:30:00,,
AUDIT_SUMMER_29,SUMMER,audit_bridge,2023.07.26 06:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,29
SUMMER_C_16,SUMMER,candidate,2023.07.26 13:00:00,,
SUMMER_K_09,SUMMER,control,2023.07.26 23:30:00,,
AUDIT_SUMMER_31,SUMMER,audit_bridge,2023.07.27 02:30:00,deepseek数据保存/执行_XAMR30/smoke/DS260914_XAMR30_SMOKE_SUMMER/trades.csv,31
SUMMER_C_17,SUMMER,candidate,2023.07.27 13:30:00,,
SUMMER_C_18,SUMMER,candidate,2023.07.28 13:30:00,,
SUMMER_C_19,SUMMER,candidate,2023.07.31 10:00:00,,
SUMMER_C_20,SUMMER,candidate,2023.07.31 23:00:00,,
SUMMER_K_10,SUMMER,control,2023.07.31 23:30:00,,
